dist,notippct
0,0.581060105955
1,0.487077177019
2,0.435273963723
3,0.421125220272
4,0.414006792527
5,0.41543089398
6,0.409673155977
7,0.407063018631
8,0.38782072092
9,0.378551522265
10,0.386114587493
11,0.419145038143
12,0.431233486302
13,0.443667855546
14,0.454732631167
15,0.429686239343
16,0.428838823739
17,0.454319092373
18,0.432728453378
19,0.402203539303
20,0.42261277928
21,0.449729052637
22,0.496830872435
23,0.536321084073
24,0.548985289828
25,0.544763811992
26,0.525194198116
27,0.478726010617
28,0.456459731544
29,0.498222100656
30,0.524361948956
31,0.545643153527
32,0.522170057381
33,0.554860894029
34,0.573178807947
35,0.568432671082
36,0.581980519481
37,0.586759209824
38,0.584203655352
39,0.563390847712
40,0.579127459367
41,0.577174929841
42,0.563614744352
43,0.550666666667
44,0.570982839314
45,0.567375886525
46,0.577380952381
47,0.566390041494
48,0.56768558952
49,0.537234042553
